Kilometres;Toyota Aygo 1.1;Dacia Sandero 1.2;Dacia Logan 1.5 dci;Fiat Panda 1.3 d;Fiat Punto Evo 1.3 d;Renaut Clio Campus 1.5;Skoda Fabia 1.2 e;Renault Clio III essence 75 ch;Fiat Panda 1.2 e;Fiat Punto Evo 1.2 e;Skoda Fabia 1.4 TDI;Toyota Yaris;Dacia Logan 1.2
94000;18521.396;22591.998;21020.564;18983.772;22143.206;20589.432;23517.834;18436.108;17392.574;19863.752;23474.602;25924.904;19881.012;
95000;18591.73;22703.615;21095.57;19042.11;22200.155;20661.66;23608.045;18524.79;17467.495;19943.26;23539.885;25986.02;19975.81;
96000;18662.064;22815.232;21170.576;19100.448;22257.104;20733.888;23698.256;18613.472;17542.416;20022.768;23605.168;26047.136;20070.608;
97000;18732.398;22926.849;21245.582;19158.786;22314.053;20806.116;23788.467;18702.154;17617.337;20102.276;23670.451;26108.252;20165.406;
98000;18802.732;23038.466;21320.588;19217.124;22371.002;20878.344;23878.678;18790.836;17692.258;20181.784;23735.734;26169.368;20260.204;
99000;18873.066;23150.083;21395.594;19275.462;22427.951;20950.572;23968.889;18879.518;17767.179;20261.292;23801.017;26230.484;20355.002;
100000;18943.4;23361.7;21550.6;19333.8;22484.9;21372.8;24194.1;18968.2;17842.1;20340.8;24001.3;26291.6;20529.8;
101000;19013.734;23473.317;21625.606;19392.138;22541.849;21445.028;24284.311;19056.882;17917.021;20420.308;24066.583;26352.716;20624.598;
102000;19084.068;23584.934;21700.612;19450.476;22598.798;21517.256;24374.522;19145.564;17991.942;20499.816;24131.866;26413.832;20719.396;
103000;19154.402;23696.551;21775.618;19508.814;22655.747;21589.484;24464.733;19234.246;18066.863;20579.324;24197.149;26474.948;20814.194;
104000;19224.736;23808.168;21850.624;19567.152;22712.696;21661.712;24554.944;19322.928;18141.784;20658.832;24262.432;26536.064;20908.992;
105000;19295.07;23919.785;21925.63;19775.49;22769.645;21733.94;24765.155;19411.61;18216.705;20738.34;24447.715;26917.18;21003.79;
106000;19365.404;24031.402;22000.636;19833.828;22826.594;21806.168;24855.366;19500.292;18291.626;20817.848;24512.998;26978.296;21098.588;
107000;19435.738;24143.019;22075.642;19892.166;22883.543;21878.396;24945.577;19588.974;18366.547;20897.356;24578.281;27039.412;21193.386;
108000;19506.072;24254.636;22150.648;19950.504;22940.492;21950.624;25035.788;19677.656;18441.468;20976.864;24643.564;27100.528;21288.184;
109000;19576.406;24366.253;22225.654;20008.842;22997.441;22022.852;25125.999;19766.338;18516.389;21056.372;24708.847;27161.644;21382.982;
110000;19646.74;24477.87;22300.66;20067.18;23054.39;22095.08;25216.21;19855.02;18591.31;21135.88;24774.13;27222.76;21477.78;
111000;19717.074;24589.487;22375.666;20125.518;23111.339;22167.308;25306.421;19943.702;18666.231;21215.388;24839.413;27283.876;21572.578;
112000;19787.408;24701.104;22450.672;20183.856;23168.288;22239.536;25396.632;20032.384;18741.152;21294.896;24904.696;27344.992;21667.376;
113000;19857.742;24812.721;22525.678;20242.194;23225.237;22311.764;25486.843;20121.066;18816.073;21374.404;24969.979;27406.108;21762.174;
114000;19928.076;24924.338;22600.684;20300.532;23282.186;22383.992;25577.054;20209.748;18890.994;21453.912;25035.262;27467.224;21856.972;
115000;19998.41;25035.955;22675.69;20358.87;23339.135;22456.22;25667.265;20298.43;18965.915;21533.42;25100.545;27528.34;21951.77;
116000;20068.744;25147.572;22750.696;20417.208;23396.084;22528.448;25757.476;20387.112;19040.836;21612.928;25165.828;27589.456;22046.568;
117000;20139.078;25259.189;22825.702;20475.546;23453.033;22600.676;25847.687;20475.794;19115.757;21692.436;25231.111;27650.572;22141.366;
118000;20209.412;25370.806;22900.708;20533.884;23509.982;22672.904;25937.898;20564.476;19190.678;21771.944;25296.394;27711.688;22236.164;
119000;20279.746;25482.423;22975.714;20592.222;23566.931;22745.132;26028.109;20653.158;19265.599;21851.452;25361.677;27772.804;22330.962;
120000;20350.08;25694.04;23130.72;20800.56;23823.88;23167.36;26238.32;20941.84;19340.52;21930.96;25546.96;28573.92;22505.76;
