Kilometres;Skoda Fabia 1.4 TDI;Toyota Aygo 1.1;Dacia Logan 1.2;Renaut Clio Campus 1.5;Dacia Sandero 1.2;Toyota Aygo 1.2 d;Fiat Grande Punto 1.2 e;Fiat Grande Punto 1.3 d;Renault Clio Campus.com e;Renault Clio Campus.com GPL;Renault Clio Campus.com dci;
100000;22552.3;18959.4;19661.8;20748.8;22339.7;20139.8;20195.1;20710.5;1389.0;798.0;1269.0;
101000;22611.943;19023.294;19747.918;20814.788;22441.097;20193.098;20277.051;20767.605;1402.89;805.98;1281.69;
102000;22671.586;19087.188;19834.036;20880.776;22542.494;20246.396;20359.002;20824.71;1416.78;813.96;1294.38;
103000;22731.229;19151.082;19920.154;20946.764;22643.891;20299.694;20440.953;20881.815;1430.67;821.94;1307.07;
104000;22790.872;19214.976;20006.272;21012.752;22745.288;20352.992;20522.904;20938.92;1444.56;829.92;1319.76;
105000;22970.515;19388.87;20092.39;21078.74;22846.685;20406.29;20604.855;20996.025;1458.45;837.9;1332.45;
106000;23030.158;19452.764;20178.508;21144.728;22948.082;20459.588;20686.806;21053.13;1472.34;845.88;1345.14;
107000;23089.801;19516.658;20264.626;21210.716;23049.479;20512.886;20768.757;21110.235;1486.23;853.86;1357.83;
108000;23149.444;19580.552;20350.744;21276.704;23150.876;20566.184;20850.708;21167.34;1500.12;861.84;1370.52;
109000;23209.087;19644.446;20436.862;21342.692;23252.273;20619.482;20932.659;21224.445;1514.01;869.82;1383.21;
110000;24018.73;19708.34;20522.98;21408.68;23353.67;20672.78;21014.61;21281.55;1527.9;877.8;1395.9;
111000;24078.373;19772.234;20609.098;21474.668;23455.067;20726.078;21096.561;21338.655;1541.79;885.78;1408.59;
112000;24138.016;19836.128;20695.216;21540.656;23556.464;20779.376;21178.512;21395.76;1555.68;893.76;1421.28;
113000;24197.659;19900.022;20781.334;21606.644;23657.861;20832.674;21260.463;21452.865;1569.57;901.74;1433.97;
114000;24257.302;19963.916;20867.452;21672.632;23759.258;20885.972;21342.414;21509.97;1583.46;909.72;1446.66;
115000;24316.945;20027.81;20953.57;21738.62;23860.655;20939.27;21424.365;21567.075;1597.35;917.7;1459.35;
116000;24376.588;20091.704;21039.688;21804.608;23962.052;20992.568;21506.316;21624.18;1611.24;925.68;1472.04;
117000;24436.231;20155.598;21125.806;21870.596;24063.449;21045.866;21588.267;21681.285;1625.13;933.66;1484.73;
118000;24495.874;20219.492;21211.924;21936.584;24164.846;21099.164;21670.218;21738.39;1639.02;941.64;1497.42;
119000;24555.517;20283.386;21298.042;22002.572;24266.243;21152.462;21752.169;21795.495;1652.91;949.62;1510.11;
120000;24735.16;20457.28;21464.16;22418.56;24467.64;21435.76;21834.12;21852.6;1666.8;957.6;1522.8;
121000;24794.803;20521.174;21550.278;22484.548;24569.037;21489.058;21916.071;21909.705;1680.69;965.58;1535.49;
122000;24854.446;20585.068;21636.396;22550.536;24670.434;21542.356;21998.022;21966.81;1694.58;973.56;1548.18;
123000;24914.089;20648.962;21722.514;22616.524;24771.831;21595.654;22079.973;22023.915;1708.47;981.54;1560.87;
