Kilometres;Skoda Fabia 1.4 TDI;Toyota Aygo 1.1;Fiat Punto Evo 1.2 e;Fiat Punto Evo 1.3 d;Fiat Panda 1.2 e;Fiat Panda 1.3 d;
220000;33237.46;28816.68;28280.16;26136.38;24323.42;23325.56;
221000;33297.103;28880.574;28352.388;26188.409;24391.481;23378.858;
222000;33356.746;28944.468;28424.616;26240.438;24459.542;23432.156;
223000;33416.389;29008.362;28496.844;26292.467;24527.603;23485.454;
224000;33476.032;29072.256;28569.072;26344.496;24595.664;23538.752;
225000;33655.675;29246.15;28641.3;26396.525;24663.725;23592.05;
226000;33715.318;29310.044;28713.528;26448.554;24731.786;23645.348;
227000;33774.961;29373.938;28785.756;26500.583;24799.847;23698.646;
228000;33834.604;29437.832;28857.984;26552.612;24867.908;23751.944;
229000;33894.247;29501.726;28930.212;26604.641;24935.969;23805.242;
230000;33953.89;29565.62;29002.44;26656.67;25004.03;23858.54;
231000;34013.533;29629.514;29074.668;26708.699;25072.091;23911.838;
232000;34073.176;29693.408;29146.896;26760.728;25140.152;23965.136;
233000;34132.819;29757.302;29219.124;26812.757;25208.213;24018.434;
234000;34192.462;29821.196;29291.352;26864.786;25276.274;24071.732;
235000;34786.105;30265.09;29363.58;26916.815;25344.335;24125.03;
236000;34845.748;30328.984;29435.808;26968.844;25412.396;24178.328;
237000;34905.391;30392.878;29508.036;27020.873;25480.457;24231.626;
238000;34965.034;30456.772;29580.264;27072.902;25548.518;24284.924;
239000;35024.677;30520.666;29652.492;27124.931;25616.579;24338.222;
240000;35204.32;30694.56;29724.72;27176.96;25684.64;24391.52;
241000;35263.963;30758.454;29796.948;27228.989;25752.701;24444.818;
242000;35323.606;30822.348;29869.176;27281.018;25820.762;24498.116;
243000;35383.249;30886.242;29941.404;27333.047;25888.823;24551.414;
244000;35442.892;30950.136;30013.632;27385.076;25956.884;24604.712;
245000;35502.535;31014.03;30085.86;27437.105;26024.945;24658.01;
246000;35562.178;31077.924;30158.088;27489.134;26093.006;24711.308;
247000;35621.821;31141.818;30230.316;27541.163;26161.067;24764.606;
248000;35681.464;31205.712;30302.544;27593.192;26229.128;24817.904;
249000;35741.107;31269.606;30374.772;27645.221;26297.189;24871.202;
250000;35800.75;31333.5;30447.0;27697.25;26365.25;24924.5;
251000;35860.393;31397.394;30519.228;27749.279;26433.311;24977.798;
252000;35920.036;31461.288;30591.456;27801.308;26501.372;25031.096;
253000;35979.679;31525.182;30663.684;27853.337;26569.433;25084.394;
254000;36039.322;31589.076;30735.912;27905.366;26637.494;25137.692;
255000;36218.965;31762.97;30808.14;27957.395;26705.555;25190.99;
256000;36278.608;31826.864;30880.368;28009.424;26773.616;25244.288;
257000;36338.251;31890.758;30952.596;28061.453;26841.677;25297.586;
258000;36397.894;31954.652;31024.824;28113.482;26909.738;25350.884;
259000;36457.537;32018.546;31097.052;28165.511;26977.799;25404.182;
260000;36517.18;32082.44;31169.28;28217.54;27045.86;25457.48;
261000;36576.823;32146.334;31241.508;28269.569;27113.921;25510.778;
262000;36636.466;32210.228;31313.736;28321.598;27181.982;25564.076;
263000;36696.109;32274.122;31385.964;28373.627;27250.043;25617.374;
264000;36755.752;32338.016;31458.192;28425.656;27318.104;25670.672;
265000;36815.395;32401.91;31530.42;28477.685;27386.165;25723.97;
266000;36875.038;32465.804;31602.648;28529.714;27454.226;25777.268;
267000;36934.681;32529.698;31674.876;28581.743;27522.287;25830.566;
268000;36994.324;32593.592;31747.104;28633.772;27590.348;25883.864;
269000;37053.967;32657.486;31819.332;28685.801;27658.409;25937.162;
270000;37983.61;33381.38;31891.56;28737.83;27726.47;25990.46;
271000;38043.253;33445.274;31963.788;28789.859;27794.531;26043.758;
272000;38102.896;33509.168;32036.016;28841.888;27862.592;26097.056;
273000;38162.539;33573.062;32108.244;28893.917;27930.653;26150.354;
274000;38222.182;33636.956;32180.472;28945.946;27998.714;26203.652;
275000;38281.825;33700.85;32252.7;28997.975;28066.775;26256.95;
276000;38341.468;33764.744;32324.928;29050.004;28134.836;26310.248;
277000;38401.111;33828.638;32397.156;29102.033;28202.897;26363.546;
278000;38460.754;33892.532;32469.384;29154.062;28270.958;26416.844;
279000;38520.397;33956.426;32541.612;29206.091;28339.019;26470.142;
280000;38580.04;34020.32;32613.84;29258.12;28407.08;26523.44;
281000;38639.683;34084.214;32686.068;29310.149;28475.141;26576.738;
282000;39233.326;34528.108;32758.296;29362.178;28543.202;26630.036;
283000;39292.969;34592.002;32830.524;29414.207;28611.263;26683.334;
284000;39352.612;34655.896;32902.752;29466.236;28679.324;26736.632;
285000;39532.255;34829.79;32974.98;29518.265;28747.385;26789.93;
286000;39591.898;34893.684;33047.208;29570.294;28815.446;26843.228;
287000;39651.541;34957.578;33119.436;29622.323;28883.507;26896.526;
288000;39711.184;35021.472;33191.664;29674.352;28951.568;26949.824;
289000;39770.827;35085.366;33263.892;29726.381;29019.629;27003.122;
290000;39830.47;35149.26;33336.12;29778.41;29087.69;27056.42;
291000;39890.113;35213.154;33408.348;29830.439;29155.751;27109.718;
292000;39949.756;35277.048;33480.576;29882.468;29223.812;27163.016;
293000;40009.399;35340.942;33552.804;29934.497;29291.873;27216.314;
294000;40069.042;35404.836;33625.032;29986.526;29359.934;27269.612;
295000;40128.685;35468.73;33697.26;30038.555;29427.995;27322.91;
296000;40188.328;35532.624;33769.488;30090.584;29496.056;27376.208;
297000;40247.971;35596.518;33841.716;30142.613;29564.117;27429.506;
298000;40307.614;35660.412;33913.944;30194.642;29632.178;27482.804;
299000;40367.257;35724.306;33986.172;30246.671;29700.239;27536.102;
300000;40546.9;35898.2;34058.4;30298.7;29768.3;27589.4;
