Kilometres;Dacia Sandero 1.2;Dacia Logan 1.2;Fiat Panda 1.3 d;Dacia Logan 1.5 dci;Fiat Punto Evo 1.3 d;Renaut Clio Campus 1.5;Skoda Fabia 1.2 e;Skoda Fabia 1.4 TDI;Fiat Panda 1.2 e;Fiat Punto Evo 1.2 e;Renault Clio III essence 75 ch;Toyota Yaris;Toyota Aygo 1.1
112000;24701.104;20405.96464;20183.856;22450.672;23168.288;22239.536;24095.48248;23910.65944;18741.152;21294.896;20032.384;27344.992;19787.408;
113000;24812.721;20490.33486;20242.194;22525.678;23225.237;22311.764;24175.77027;23968.76131;18816.073;21374.404;20121.066;27406.108;19857.742;
114000;24924.338;20574.70508;20300.532;22600.684;23282.186;22383.992;24256.05806;24026.86318;18890.994;21453.912;20209.748;27467.224;19928.076;
115000;25035.955;20659.0753;20358.87;22675.69;23339.135;22456.22;24336.34585;24084.96505;18965.915;21533.42;20298.43;27528.34;19998.41;
116000;25147.572;20743.44552;20417.208;22750.696;23396.084;22528.448;24416.63364;24143.06692;19040.836;21612.928;20387.112;27589.456;20068.744;
117000;25259.189;20827.81574;20475.546;22825.702;23453.033;22600.676;24496.92143;24201.16879;19115.757;21692.436;20475.794;27650.572;20139.078;
118000;25370.806;20912.18596;20533.884;22900.708;23509.982;22672.904;24577.20922;24259.27066;19190.678;21771.944;20564.476;27711.688;20209.412;
119000;25482.423;20996.55618;20592.222;22975.714;23566.931;22745.132;24657.49701;24317.37253;19265.599;21851.452;20653.158;27772.804;20279.746;
120000;25694.04;21152.1264;20800.56;23130.72;23823.88;23167.36;24844.5848;24482.2744;19340.52;21930.96;20941.84;28573.92;20350.08;
121000;25805.657;21236.49662;20858.898;23205.726;23880.829;23239.588;24924.87259;24540.37627;19415.441;22010.468;21030.522;28635.036;20420.414;
122000;25917.274;21320.86684;20917.236;23280.732;23937.778;23311.816;25005.16038;24598.47814;19490.362;22089.976;21119.204;28696.152;20490.748;
123000;26028.891;21405.23706;20975.574;23355.738;23994.727;23384.044;25085.44817;24656.58001;19565.283;22169.484;21207.886;28757.268;20561.082;
124000;26140.508;21489.60728;21033.912;23430.744;24051.676;23456.272;25165.73596;24714.68188;19640.204;22248.992;21296.568;28818.384;20631.416;
125000;26252.125;21573.9775;21092.25;23505.75;24108.625;23528.5;25246.02375;24772.78375;19715.125;22328.5;21385.25;28879.5;20701.75;
126000;26363.742;21658.34772;21150.588;23580.756;24165.574;23600.728;25326.31154;24830.88562;19790.046;22408.008;21473.932;28940.616;20772.084;
127000;26475.359;21742.71794;21208.926;23655.762;24222.523;23672.956;25406.59933;24888.98749;19864.967;22487.516;21562.614;29001.732;20842.418;
128000;26586.976;21827.08816;21267.264;23730.768;24279.472;23745.184;25486.88712;24947.08936;19939.888;22567.024;21651.296;29062.848;20912.752;
129000;26698.593;21911.45838;21325.602;23805.774;24336.421;23817.412;25567.17491;25005.19123;20014.809;22646.532;21739.978;29123.964;20983.086;
130000;26810.21;21995.8286;21383.94;23880.78;24393.37;23889.64;25647.4627;25063.2931;20089.73;22726.04;21828.66;29185.08;21053.42;
131000;26921.827;22080.19882;21442.278;23955.786;24450.319;23961.868;25727.75049;25121.39497;20164.651;22805.548;21917.342;29246.196;21123.754;
132000;27033.444;22164.56904;21500.616;24030.792;24507.268;24034.096;25808.03828;25179.49684;20239.572;22885.056;22006.024;29307.312;21194.088;
133000;27145.061;22248.93926;21558.954;24105.798;24564.217;24106.324;25888.32607;25237.59871;20314.493;22964.564;22094.706;29368.428;21264.422;
134000;27256.678;22333.30948;21617.292;24180.804;24621.166;24178.552;25968.61386;25295.70058;20389.414;23044.072;22183.388;29429.544;21334.756;
135000;27368.295;22417.6797;21825.63;24255.81;24678.115;24250.78;26155.70165;25460.60245;20464.335;23123.58;22272.07;29810.66;21405.09;
136000;27479.912;22502.04992;21883.968;24330.816;24735.064;24323.008;26235.98944;25518.70432;20539.256;23203.088;22360.752;29871.776;21475.424;
137000;27591.529;22586.42014;21942.306;24405.822;24792.013;24395.236;26316.27723;25576.80619;20614.177;23282.596;22449.434;29932.892;21545.758;
138000;27703.146;22670.79036;22000.644;24480.828;24848.962;24467.464;26396.56502;25634.90806;20689.098;23362.104;22538.116;29994.008;21616.092;
139000;27814.763;22755.16058;22058.982;24555.834;24905.911;24539.692;26476.85281;25693.00993;20764.019;23441.612;22626.798;30055.124;21686.426;
140000;28026.38;22910.7308;22117.32;24710.84;24962.86;24961.92;26557.1406;25751.1118;20838.94;23521.12;22715.48;30116.24;21756.76;
141000;28487.997;23345.10102;22675.658;25135.846;25519.809;25484.148;27171.42839;26343.21367;21413.861;23600.628;23304.162;30177.356;22207.094;
142000;28599.614;23429.47124;22733.996;25210.852;25576.758;25556.376;27251.71618;26401.31554;21488.782;23680.136;23392.844;30238.472;22277.428;
143000;28711.231;23513.84146;22792.334;25285.858;25633.707;25628.604;27332.00397;26459.41741;21563.703;23759.644;23481.526;30299.588;22347.762;
