Kilometres;Skoda Fabia 1.4 TDI;Toyota Aygo 1.1;Fiat Punto Evo 1.2 e;Fiat Punto Evo 1.3 d;Renault Clio III essence 75 ch;
192000;31913.656;28044.128;27655.536;29273.168;29901.944;
193000;31975.649;28114.462;27735.044;29327.247;29990.626;
194000;32037.642;28184.796;27814.552;29381.326;30079.308;
195000;32219.635;28365.13;27894.06;29435.405;30167.99;
196000;32281.628;28435.464;27973.568;29489.484;30281.672;
197000;32343.621;28505.798;28053.076;29543.563;30370.354;
198000;32405.614;28576.132;28132.584;29597.642;30459.036;
199000;32467.607;28646.466;28212.092;29651.721;30547.718;
200000;33554.6;28716.8;28291.6;29705.8;30636.4;
201000;33616.593;28787.134;28371.108;29759.879;30725.082;
202000;33678.586;28857.468;28450.616;29813.958;30813.764;
203000;33740.579;28927.802;28530.124;29868.037;30927.446;
204000;33802.572;28998.136;28609.632;29922.116;31016.128;
205000;33864.565;29068.47;28689.14;29976.195;31104.81;
206000;33926.558;29138.804;28768.648;30030.274;31193.492;
207000;33988.551;29209.138;28848.156;30084.353;31282.174;
208000;34050.544;29279.472;28927.664;30138.432;31370.856;
209000;34112.537;29349.806;29007.172;30192.511;31459.538;
210000;34294.53;29530.14;29086.68;30446.59;31773.22;
211000;34356.523;29600.474;29166.188;30500.669;31861.902;
212000;34418.516;29670.808;29245.696;30554.748;31950.584;
213000;34480.509;29741.142;29325.204;30608.827;32039.266;
214000;34542.502;29811.476;29404.712;30662.906;32127.948;
215000;34604.495;29881.81;29484.22;30716.985;32216.63;
216000;34666.488;29952.144;29563.728;30771.064;32305.312;
217000;34728.481;30022.478;29643.236;30825.143;32418.994;
218000;34790.474;30092.812;29722.744;30879.222;32507.676;
219000;34852.467;30163.146;29802.252;30933.301;32596.358;
220000;34914.46;30233.48;29881.76;30987.38;32685.04;
221000;34976.453;30303.814;29961.268;31041.459;32773.722;
222000;35038.446;30374.148;30040.776;31095.538;32862.404;
223000;35100.439;30444.482;30120.284;31149.617;32951.086;
224000;35162.432;30514.816;30199.792;31203.696;33064.768;
225000;35344.425;30695.15;30279.3;31257.775;33153.45;
226000;35406.418;30765.484;30358.808;31311.854;33242.132;
227000;35468.411;30835.818;30438.316;31365.933;33330.814;
228000;35530.404;30906.152;30517.824;31420.012;33419.496;
229000;35592.397;30976.486;30597.332;31474.091;33508.178;
230000;35654.39;31046.82;30676.84;31528.17;33596.86;
231000;35716.383;31117.154;30756.348;31582.249;33710.542;
232000;35778.376;31187.488;30835.856;31636.328;33799.224;
233000;35840.369;31257.822;30915.364;31690.407;33887.906;
234000;35902.362;31328.156;30994.872;31744.486;33976.588;
235000;36498.355;31778.49;31074.38;32298.565;34565.27;
236000;36560.348;31848.824;31153.888;32352.644;34653.952;
237000;36622.341;31919.158;31233.396;32406.723;34742.634;
238000;36684.334;31989.492;31312.904;32460.802;34856.316;
239000;36746.327;32059.826;31392.412;32514.881;34944.998;
240000;36928.32;32240.16;31471.92;32768.96;35233.68;
241000;36990.313;32310.494;31551.428;32823.039;35322.362;
242000;37052.306;32380.828;31630.936;32877.118;35411.044;
243000;37114.299;32451.162;31710.444;32931.197;35499.726;
244000;37176.292;32521.496;31789.952;32985.276;35588.408;
245000;37238.285;32591.83;31869.46;33039.355;35702.09;
246000;37300.278;32662.164;31948.968;33093.434;35790.772;
247000;37362.271;32732.498;32028.476;33147.513;35879.454;
248000;37424.264;32802.832;32107.984;33201.592;35968.136;
249000;37486.257;32873.166;32187.492;33255.671;36056.818;
250000;37548.25;32943.5;32267.0;33309.75;36145.5;
251000;37610.243;33013.834;32346.508;33363.829;36234.182;
252000;37672.236;33084.168;32426.016;33417.908;36347.864;
253000;37734.229;33154.502;32505.524;33471.987;36436.546;
254000;37796.222;33224.836;32585.032;33526.066;36525.228;
255000;37978.215;33405.17;32664.54;33580.145;36613.91;
256000;38040.208;33475.504;32744.048;33634.224;36702.592;
257000;38102.201;33545.838;32823.556;33688.303;36791.274;
258000;38164.194;33616.172;32903.064;33742.382;36879.956;
259000;38226.187;33686.506;32982.572;33796.461;36993.638;
260000;38288.18;33756.84;33062.08;33850.54;37082.32;
261000;38350.173;33827.174;33141.588;33904.619;37171.002;
262000;38412.166;33897.508;33221.096;33958.698;37259.684;
263000;38474.159;33967.842;33300.604;34012.777;37348.366;
264000;38536.152;34038.176;33380.112;34066.856;37437.048;
265000;38598.145;34108.51;33459.62;34120.935;37525.73;
266000;38660.138;34178.844;33539.128;34175.014;37639.412;
267000;38722.131;34249.178;33618.636;34229.093;37728.094;
268000;38784.124;34319.512;33698.144;34283.172;37816.776;
269000;38846.117;34389.846;33777.652;34337.251;37905.458;
270000;39778.11;35120.18;33857.16;35091.33;38694.14;
271000;39840.103;35190.514;33936.668;35145.409;38782.822;
272000;39902.096;35260.848;34016.176;35199.488;38871.504;
273000;39964.089;35331.182;34095.684;35253.567;38985.186;
274000;40026.082;35401.516;34175.192;35307.646;39073.868;
275000;40088.075;35471.85;34254.7;35361.725;39162.55;
276000;40150.068;35542.184;34334.208;35415.804;39251.232;
277000;40212.061;35612.518;34413.716;35469.883;39339.914;
278000;40274.054;35682.852;34493.224;35523.962;39428.596;
279000;40336.047;35753.186;34572.732;35578.041;39517.278;
280000;40398.04;35823.52;34652.24;35632.12;39630.96;
281000;40460.033;35893.854;34731.748;35686.199;39719.642;
282000;41056.026;36344.188;34811.256;36240.278;40308.324;
283000;41118.019;36414.522;34890.764;36294.357;40397.006;
284000;41180.012;36484.856;34970.272;36348.436;40485.688;
285000;41362.005;36665.19;35049.78;36402.515;40574.37;
286000;41423.998;36735.524;35129.288;36456.594;40663.052;
287000;41485.991;36805.858;35208.796;36510.673;40776.734;
288000;41547.984;36876.192;35288.304;36564.752;40865.416;
289000;41609.977;36946.526;35367.812;36618.831;40954.098;
290000;41671.97;37016.86;35447.32;36672.91;41042.78;
